dia;mes;año;Fecha;Regíon;Volcan;Hora reporte;Hora evento;Tipo de evento;ML;DR [cm2];Prof (km);Tiempo en genarar el reporte;Comentarios;Nivel de alerta;REAV y enlace a documento;;;;;;;;;
11;8;2017;11-08-2017;Región Metropolitana;Tupungatito;04:00;03:06;VT;4,1;-;10,3;00:54;-;Verde;REAV Región Metropolitana, 11 agosto de 2017, 04:00 (Horario Local);;;;;;;;;
14;8;2017;14-08-2017;Región Metropolitana;Tupungatito;08:30;07:08;VT;3,7;-;5,2;01:22;-;Verde;REAV Región Metropolitana, 14 agosto de 2017, 08:30 (Horario Local);;;;;;;;;
14;8;2017;14-08-2017;Región Metropolitana;Tupungatito;11:40;08:51;VT;4,5;-;8,9;02:49;-;Verde;REAV Región Metropolitana, 14 agosto de 2017, 11:40 (Horario Local);;;;;;;;;
23;8;2017;23-08-2017;Región Metropolitana;Tupungatito;-;07:39;VT;3,3;-;8,2; ;-;Verde;REAV Región Metropolitana, 23 agosto de 2017, - (Horario Local);;;;;;;;;
26;8;2017;26-08-2017;Región Metropolitana;Tupungatito;-;04:14;VT;3,2;-;8,4; ;-;Verde;REAV Región Metropolitana, 26 agosto de 2017, - (Horario Local);;;;;;;;;
14;9;2017;14-09-2017;Región de Arica y Parinacota;Guallatiri;19:20;18:32;VT;3;-;4;00:48;-;Verde;REAV Región de Arica y Parinacota, 14 septiembre de 2017, 19:20 (Horario Local);;;;;;;;;
15;9;2017;15-09-2017;Región de Arica y Parinacota;Guallatiri;12:35;12:11;VT;3,5;-;9,7;00:24;-;Verde;REAV Región de Arica y Parinacota, 15 septiembre de 2017, 12:35 (Horario Local);;;;;;;;;
21;9;2017;21-09-2017;Región del Biobío;Copahue;12:30;-;-;-;-;-;- ;Aumento en la altura de columna de gases con MP.;Verde;REAV Región del Biobío, 21 septiembre de 2017, 12:30 (Horario Local);;;;;;;;;
2;10;2017;02-10-2017;Región de La Araucanía;Llaima;18:50;09:00;LP;-;1;-;09:50;Sucesión de LPs, contabilizandose 600 sismos hasta la hora de emisión de este reporte.;Verde;REAV Región de La Araucanía, 02 octubre de 2017, 18:50 (Horario Local);;;;;;;;;
4;10;2017;04-10-2017;Región del Biobío;Nevados de Chillán;17:00;11:48;LP;-;497;-;05:12;-;Amarilla;REAV Región del Biobío, 04 octubre de 2017, 17:00 (Horario Local);;;;;;;;;
11;10;2017;11-10-2017;Región del Biobío;Nevados de Chillán;11:00;08:43;-;-;-;-;02:17;Emisiones pulsátiles de gases y MP;Amarilla;REAV Región del Biobío, 11 octubre de 2017, 11:00 (Horario Local);;;;;;;;;
5;11;2017;05-11-2017;Región del Maule;Planchón-Peteroa;21:15;20:32;VT;3,5;-;5,96;00:43;-;Amarilla;REAV Región del Maule, 05 noviembre de 2017, 21:15 (Horario Local);;;;;;;;;
11;11;2017;11-11-2017;Región del Biobío;Copahue;02:00;23:06;VT;4;-;4,8;02:54;-;Verde;REAV Región del Biobío, 11 noviembre de 2017, 02:00 (Horario Local);;;;;;;;;
14;11;2017;14-11-2017;Región del Maule;Planchón-Peteroa;16:30;14:57;TR;-;3,8;-;01:33;Se registra un episodio de tremor espasmódico, sugiriendo una mayor interacción entre el sistema hidrotermal y magmático o una intrusión profunda.;Amarilla;REAV Región del Maule, 14 noviembre de 2017, 16:30 (Horario Local);;;;;;;;;
24;11;2017;24-11-2017;Región de La Araucanía y Los Ríos;Villarrica;08:10;07:07;VT;4,1;-;1,8;01:03;-;Verde;REAV Región de La Araucanía y Los Ríos, 24 noviembre de 2017, 08:10 (Horario Local);;;;;;;;;
2;12;2017;02-12-2017;Región del Biobío;Copahue;18:30;17:58;VT;3,3;-;6,7;00:32;-;Verde;REAV Región del Biobío, 02 diciembre de 2017, 18:30 (Horario Local);;;;;;;;;
5;12;2017;05-12-2017;Región de La Araucanía y Los Ríos;Villarrica;09:50;-;-;-;-;-;- ;Explosiones a nivel del cráter. Se observa un aumento de la energía sísmica del TR volcánico, con valores de DR máx= 17cm*cm. Mediante fotografías se ratifica la precensia del lago de lava en superficie. Alerta se cambia a AMARILLA;Amarilla;REAV Región de La Araucanía y Los Ríos, 05 diciembre de 2017, 09:50 (Horario Local);;;;;;;;;
5;12;2017;05-12-2017;Región del Biobío;Copahue;23:30;22:45;VT;4;-;4,3;00:45;-;Verde;REAV Región del Biobío, 05 diciembre de 2017, 23:30 (Horario Local);;;;;;;;;
15;12;2017;15-12-2017;Región de Arica y Parinacota;Guallatiri;15:56;15:12;VT;3,8;-;7,2;00:44;-;Verde;REAV Región de Arica y Parinacota, 15 diciembre de 2017, 15:56 (Horario Local);;;;;;;;;
19;12;2017;19-12-2017;Región de Los Lagos;Osorno;18:30;15:15;VT;3;-;2,7;03:15;-;Verde;REAV Región de Los Lagos, 19 diciembre de 2017, 18:30 (Horario Local);;;;;;;;;
19;12;2017;19-12-2017;Región del Biobío;Nevados de Chillán;-;-;-;-;-;-;- ;Durante los ultimos 2 días se registra un incremento en el numero de explosiones menores en el cráter activo, a una taza de 4 explosiones por hora, además de la presencia de tremor armónico con duraciones entre 5 a 10 minutos. Los pulsos de MP han alcanzado una altura de unos 1000m sobre el nivel del cráter activo.;Amarilla;REAV Región del Biobío, 19 diciembre de 2017, - (Horario Local);;;;;;;;;
30;12;2017;30-12-2017;Región del Maule;Descabezado Grande;12:15;11:28;VT;3,2;-;2;00:47;-;Verde;REAV Región del Maule, 30 diciembre de 2017, 12:15 (Horario Local);;;;;;;;;
9;1;2018;09-01-2018;Región del Biobío;Nevados de Chillán;22:10;-;-;-;-;-;- ;Mediante sobrevuelo se identifica con claridad el emplazamiento y crecimiento de un domo de lava al interior del cráter activo. Se registra una temperatura de 480°C, siendo los valores más altos observados;Amarilla;REAV Región del Biobío, 09 enero de 2018, 22:10 (Horario Local);;;;;;;;;
2;2;2018;02-02-2018;Región del Biobío;Nevados de Chillán;16:30;12:02;EX;-;440;-;04:28;Explosión con emisión de MP a 2500m sobre el borde del cráter Nicanor;Amarilla;REAV Región del Biobío, 02 febrero de 2018, 16:30 (Horario Local);;;;;;;;;
5;3;2018;05-03-2018;Región del Maule;Descabezado Grande;14:38;11:15;VT;3,7;-;2,7;03:23;-;Verde;REAV Región del Maule, 05 marzo de 2018, 14:38 (Horario Local);;;;;;;;;
24;3;2018;24-03-2018;Región del Biobío;Copahue;16:50;13:48;LP y EX;-;44;-;03:02;Disparo sísmico de sismos LP, 48 eventos en 1 hora. Posterior a esto se registro una explosión que alcanzó unos 1000m sobre el nivel del cráter.;Verde;REAV Región del Biobío, 24 marzo de 2018, 16:50 (Horario Local);;;;;;;;;
24;3;2018;24-03-2018;Región del Biobío;Copahue;19:50;16:50;TR;-;11;-;03:00;Luego de la explosión anterior, se registra un alza sostenida del tremor de fondo. Se cambia alerta a AMARILLA;Amarilla;REAV Región del Biobío, 24 marzo de 2018, 19:50 (Horario Local);;;;;;;;;
26;3;2018;26-03-2018;Región del Biobío;Copahue;16:30;-;LP;-;-;-;- ;Continua el registro de episodios de LP con ocurrencia rítmica y baja energía;Amarilla;REAV Región del Biobío, 26 marzo de 2018, 16:30 (Horario Local);;;;;;;;;
28;3;2018;28-03-2018;Región de Los Ríos;Mocho-Choshuenco;09:00;08:35;VT;3,1;-;3,6;00:25;-;Verde;REAV Región de Los Ríos, 28 marzo de 2018, 09:00 (Horario Local);;;;;;;;;
5;4;2018;05-04-2018;Región del Biobío;Nevados de Chillán;18:20;-;-;-;-;-;- ;Se cambia alerta a NARANJA;Naranja;REAV Región del Biobío, 05 abril de 2018, 18:20 (Horario Local);;;;;;;;;
14;4;2018;14-04-2018;Región de Los Lagos;Osorno;14:30;13:35;VT;3;-;3,88;00:55;-;Verde;REAV Región de Los Lagos, 14 abril de 2018, 14:30 (Horario Local);;;;;;;;;
26;4;2018;26-04-2018;Región de Arica y Parinacota;Guallatiri;19:17;16:00;VT;3,9;-;8;03:17;-;Verde;REAV Región de Arica y Parinacota, 26 abril de 2018, 19:17 (Horario Local);;;;;;;;;
4;6;2018;04-06-2018;Región del Maule;Descabezado Grande;13:05;12:27;VT;3,1;-;3;00:38;-;Verde;REAV Región del Maule, 04 junio de 2018, 13:05 (Horario Local);;;;;;;;;
6;6;2018;06-06-2018;Región de Arica y Parinacota;Parinacota;-;17:03;VT;2,3;-;10,6; ;Enjambre sismico de eventos tipo VT, 90 eventos en 85 minutos.;Verde;REAV Región de Arica y Parinacota, 06 junio de 2018, - (Horario Local);;;;;;;;;
20;6;2018;20-06-2018;Región de Los Ríos;Puyehue-Cordón Caulle;11:30;-;-;-;-;-;- ;Debido al registro de sismicidad híbrida de magnitud moderada y evidencia de deformación en el edificio volcanico, se cambia alerta a AMARILLA;Amarilla;REAV Región de Los Ríos, 20 junio de 2018, 11:30 (Horario Local);;;;;;;;;
23;6;2018;23-06-2018;Región de Los Lagos;Osorno;11:00;10:30;VT;3;-;2,9;00:30;-;Amarilla;REAV Región de Los Lagos, 23 junio de 2018, 11:00 (Horario Local);;;;;;;;;
13;7;2018;13-07-2018;Región del Biobío;Nevados de Chillán;22:00;20:55;EX;3,7;985;0,43;01:05;-;Naranja;REAV Región del Biobío, 13 julio de 2018, 22:00 (Horario Local);;;;;;;;;
14;7;2018;14-07-2018;Región del Biobío;Nevados de Chillán;17:00;15:30;EX;3,9;1588;1,4;01:30;-;Naranja;REAV Región del Biobío, 14 julio de 2018, 17:00 (Horario Local);;;;;;;;;
15;7;2018;15-07-2018;Región del Biobío;Nevados de Chillán;04:00;03:24;EX;3,8;630;1,8;00:36;-;Naranja;REAV Región del Biobío, 15 julio de 2018, 04:00 (Horario Local);;;;;;;;;
26;7;2018;26-07-2018;Región de Antofagasta;Láscar;22:30;-;VT;1,5;-;1,5;- ;Enjambre sismico de eventos tipo VT, a una taza de 40 eventos/hora. Sismicidad VT se sigue registrando;Amarilla;REAV Región de Antofagasta, 26 julio de 2018, 22:30 (Horario Local);;;;;;;;;
5;8;2018;05-08-2018;Región de Los Lagos;Osorno;11:47;11:26;VT;3,4;-;3,5;00:21;-;Amarilla;REAV Región de Los Lagos, 05 agosto de 2018, 11:47 (Horario Local);;;;;;;;;
5;8;2018;05-08-2018;Región del Maule;Tatara-San Pedro;03:00;01:28;VT;3,1;-;3,8;01:32;-;Verde;REAV Región del Maule, 05 agosto de 2018, 03:00 (Horario Local);;;;;;;;;
8;8;2018;08-08-2018;Región del Biobío;Nevados de Chillán;12:40;12:12;LP y EX;-;700;0,2;00:28;Emisión de MP, alcanzando una altura de 1500m.;Naranja;REAV Región del Biobío, 08 agosto de 2018, 12:40 (Horario Local);;;;;;;;;
11;8;2018;11-08-2018;Región de La Araucanía;Lonquimay;21:15;20:15;HB;3;-;14,5;01:00;-;Verde;REAV Región de La Araucanía, 11 agosto de 2018, 21:15 (Horario Local);;;;;;;;;
3;9;2018;03-09-2018;Región de Arica y Parinacota;Guallatiri;07:00;00:27;VT;3,6;-;13;06:33;-;Verde;REAV Región de Arica y Parinacota, 03 septiembre de 2018, 07:00 (Horario Local);;;;;;;;;
12;9;2018;12-09-2018;Región de Ñuble;Nevados de Chillán;01:51;00:57;EX;-;248;0,1;00:54;Explosión asociada a un colapso parcial del domo;Naranja;REAV Región de Ñuble, 12 septiembre de 2018, 01:51 (Horario Local);;;;;;;;;
13;9;2018;13-09-2018;Región de Ñuble;Nevados de Chillán;22:50;22:18;EX;-;955;1,3;00:32;Caracteristicas del evento permiten inferir una destrucción parcial del domo;Naranja;REAV Región de Ñuble, 13 septiembre de 2018, 22:50 (Horario Local);;;;;;;;;
14;9;2018;14-09-2018;Región de Ñuble;Nevados de Chillán;11:30;11:01;LP y EX;-;1380;1,5;00:29;Emisión de MP, alcanzando una altura de 2500m.;Naranja;REAV Región de Ñuble, 14 septiembre de 2018, 11:30 (Horario Local);;;;;;;;;
23;9;2018;23-09-2018;Región de La Araucanía y Los Ríos;Villarrica;17:40;17:17;VT;3,2;-;3,2;00:23;-;Verde;REAV Región de La Araucanía y Los Ríos, 23 septiembre de 2018, 17:40 (Horario Local);;;;;;;;;
7;10;2018;07-10-2018;Región del Biobío;Copahue;03:10;02:44;VT;3,2;-;3,5;00:26;-;Amarilla;REAV Región del Biobío, 07 octubre de 2018, 03:10 (Horario Local);;;;;;;;;
13;10;2018;13-10-2018;Región de Ñuble;Nevados de Chillán;11:40;10:56;LP y EX;-;1024;0,7;00:44;Señal acustica de 33,1 Pa reducidos. Emisión de MP alcanzan una altura de 1400m.;Naranja;REAV Región de Ñuble, 13 octubre de 2018, 11:40 (Horario Local);;;;;;;;;
16;10;2018;16-10-2018;Región del Biobío;Copahue;08:50;07:50;VT;2,7;-;4,4;01:00;-;Amarilla;REAV Región del Biobío, 16 octubre de 2018, 08:50 (Horario Local);;;;;;;;;
19;10;2018;19-10-2018;Región de Arica y Parinacota;Guallatiri;14:17;13:31;VT;3,4;-;9,8;00:46;-;Verde;REAV Región de Arica y Parinacota, 19 octubre de 2018, 14:17 (Horario Local);;;;;;;;;
25;10;2018;25-10-2018;Región Metropolitana;Tupungatito;23:20;22:59;VT;4,8;-;6,8;00:21;-;Verde;REAV Región Metropolitana, 25 octubre de 2018, 23:20 (Horario Local);;;;;;;;;
3;11;2018;03-11-2018;Región de Los Ríos;Puyehue-Cordón Caulle;04:00;01:21;VT;2,4;-;3,8;02:39;Enjambre sismico de eventos tipo VT, 120 eventos en 90 minutos.;Verde;REAV Región de Los Ríos, 03 noviembre de 2018, 04:00 (Horario Local);;;;;;;;;
7;11;2018;07-11-2018;Región del Maule;Planchón-Peteroa;11:30;10:24;-;-;;-;01:06;Emisión de MP, alcanzando una altura de 1000m. No se registra sismicidad premonitoria al evento. ;Amarilla;REAV Región del Maule, 07 noviembre de 2018, 11:30 (Horario Local);;;;;;;;;
7;11;2018;07-11-2018;Región de Ñuble;Nevados de Chillán;23:47;23:03;LP y EX;-;1093;1,1;00:44;-;Naranja;REAV Región de Ñuble, 07 noviembre de 2018, 23:47 (Horario Local);;;;;;;;;
6;12;2018;06-12-2018;Región del Biobío;Copahue;16:00;15:20;VT;3,1;-;4,6;00:40;Enjambre sÍsmico de eventos tipo VT, 200 eventos en 40 minutos.;Amarilla;REAV Región del Biobío, 06 diciembre de 2018, 16:00 (Horario Local);;;;;;;;;
7;12;2018;07-12-2018;Región del Maule;Planchón-Peteroa;13:05;13:05;TR y EX;-;1,7;-;00:00;Emisión de materia particulado, alcanzando una altura de 1300m. Emisión asociada a un evento tipo tremor. No se registro actividad premonitoria.;Amarilla;REAV Región del Maule, 07 diciembre de 2018, 13:05 (Horario Local);;;;;;;;;
7;12;2018;07-12-2018;Región de Ñuble;Nevados de Chillán;04:30;03:13;LP y EX;-;622;0,9;01:17;-;Naranja;REAV Región de Ñuble, 07 diciembre de 2018, 04:30 (Horario Local);;;;;;;;;
14;12;2018;14-12-2018;Región del Maule;Planchón-Peteroa;10:20;09:57;LP y EX;-;13,3;-;00:23;Emisión de materia particulado, alcanzando una altura de 800m. Emisión asociada a un evento tipo LP. No se registro actividad premonitoria.;Amarilla;REAV Región del Maule, 14 diciembre de 2018, 10:20 (Horario Local);;;;;;;;;
16;12;2018;16-12-2018;Región del Maule;Planchón-Peteroa;07:10;-;TR;-;4;-;- ;Aumento en el registro de pulsos de tremor los que tienen asociado una desgasificación pulsatil de MP, alcanzando alturas menores a 800m. Se observa incandescencia nocturna.;Amarilla;REAV Región del Maule, 16 diciembre de 2018, 07:10 (Horario Local);;;;;;;;;
28;12;2018;28-12-2018;Región de Ñuble;Nevados de Chillán;23:00;22:11;LP y EX;-;540;1;00:49;-;Naranja;REAV Región de Ñuble, 28 diciembre de 2018, 23:00 (Horario Local);;;;;;;;;
11;1;2019;11-01-2019;Región de Ñuble;Nevados de Chillán;16:15;15:45;LP y EX;-;1215;0,5;00:30;-;Naranja;REAV Región de Ñuble, 11 enero de 2019, 16:15 (Horario Local);;;;;;;;;
11;1;2019;11-01-2019;Región de Ñuble;Nevados de Chillán;05:30;05:00;LP y EX;-;915;2,4;00:30;-;Naranja;REAV Región de Ñuble, 11 enero de 2019, 05:30 (Horario Local);;;;;;;;;
13;1;2019;13-01-2019;Región de Ñuble;Nevados de Chillán;06:00;03:00;LP y EX;-;599;1;03:00;-;Naranja;REAV Región de Ñuble, 13 enero de 2019, 06:00 (Horario Local);;;;;;;;;
29;1;2019;29-01-2019;Región del Biobío;Copahue;01:50;01:02;VT;3,2;-;1,98;00:48;-;Amarilla;REAV Región del Biobío, 29 enero de 2019, 01:50 (Horario Local);;;;;;;;;
31;1;2019;31-01-2019;Región de Arica y Parinacota;Guallatiri;09:00;09:00;VT;3,4;-;10,8;00:00;-;Verde;REAV Región de Arica y Parinacota, 31 enero de 2019, 09:00 (Horario Local);;;;;;;;;
31;1;2019;31-01-2019;Región del Maule;Descabezado Grande;10:45;09:56;VT;3;-;3;00:49;-;Verde;REAV Región del Maule, 31 enero de 2019, 10:45 (Horario Local);;;;;;;;;
31;1;2019;31-01-2019;Región de Ñuble;Nevados de Chillán;15:30;15:09;LP;-;910;1,1;00:21;-;Naranja;REAV Región de Ñuble, 31 enero de 2019, 15:30 (Horario Local);;;;;;;;;
1;2;2019;01-02-2019;Región del Maule;Planchón-Peteroa;21:40;19:00;VLP;-;8,3;-;02:40;Emisión de MP con una columna de 2000 m.;Amarilla;REAV Región del Maule, 01 febrero de 2019, 21:40 (Horario Local);;;;;;;;;
3;2;2019;03-02-2019;Región del Maule;Planchón-Peteroa;12:15;10:33;TR;-;2;-;01:42;Emisión de MP con una columna de 2000 m.;Amarilla;REAV Región del Maule, 03 febrero de 2019, 12:15 (Horario Local);;;;;;;;;
14;2;2019;14-02-2019;Región de Los Lagos;Chaitén;16:15;15:37;HB;3,1;966;3,8;00:38;-;Amarilla;REAV Región de Los Lagos, 14 febrero de 2019, 16:15 (Horario Local);;;;;;;;;
14;2;2019;14-02-2019;Región del Maule;Planchón-Peteroa;12:30;-;TR;-;1;-;- ;-;Amarilla;REAV Región del Maule, 14 febrero de 2019, 12:30 (Horario Local);;;;;;;;;
15;2;2019;15-02-2019;Región de Ñuble;Nevados de Chillán;02:00;01:09;LP y EX;-;1196,87;-;00:51;-;Naranja;REAV Región de Ñuble, 15 febrero de 2019, 02:00 (Horario Local);;;;;;;;;
15;2;2019;15-02-2019;Región de Ñuble;Nevados de Chillán;05:45;04:52;LP y EX;-;553;-;00:53;-;Naranja;REAV Región de Ñuble, 15 febrero de 2019, 05:45 (Horario Local);;;;;;;;;
22;2;2019;22-02-2019;Región del Biobío;Copahue;04:40;04:13;VT;3,5;-;7,53;00:27;-;Verde;REAV Región del Biobío, 22 febrero de 2019, 04:40 (Horario Local);;;;;;;;;
22;2;2019;22-02-2019;Región del Biobío;Copahue;11:00;04:30;VT;2,5;-;7,37;06:30;-;Verde;REAV Región del Biobío, 22 febrero de 2019, 11:00 (Horario Local);;;;;;;;;
22;2;2019;22-02-2019;Región del Biobío;Copahue;18:30;17:28;VT;3,4;-;7,4;01:02;-;Verde;REAV Región del Biobío, 22 febrero de 2019, 18:30 (Horario Local);;;;;;;;;
22;2;2019;22-02-2019;Región del Biobío;Copahue;19:40;18:54;VT;3,1;-;7,92;00:46;-;Verde;REAV Región del Biobío, 22 febrero de 2019, 19:40 (Horario Local);;;;;;;;;
23;2;2019;23-02-2019;Región del Biobío;Copahue;07:00;-;VT;3,2;-;6,5;- ;-;Verde;REAV Región del Biobío, 23 febrero de 2019, 07:00 (Horario Local);;;;;;;;;
1;3;2019;01-03-2019;Región de Ñuble;Nevados de Chillán;23:23;23:23;LP y EX;-;665,36;0,5;00:00;-;Naranja;REAV Región de Ñuble, 01 marzo de 2019, 23:23 (Horario Local);;;;;;;;;
2;3;2019;02-03-2019;Región del Biobío;Copahue;19:00;18:17;VT;3,5;-;7,5;00:43;-;Verde;REAV Región del Biobío, 02 marzo de 2019, 19:00 (Horario Local);;;;;;;;;
4;3;2019;04-03-2019;Región de Ñuble;Nevados de Chillán;15:50;14:40;VT;3;-;3,9;01:10;-;Naranja;REAV Región de Ñuble, 04 marzo de 2019, 15:50 (Horario Local);;;;;;;;;
8;3;2019;08-03-2019;Región de Ñuble;Nevados de Chillán;09:45;08:45;LP y EX;-;510;0,9;01:00;-;Naranja;REAV Región de Ñuble, 08 marzo de 2019, 09:45 (Horario Local);;;;;;;;;
8;4;2019;08-04-2019;Región de Ñuble;Nevados de Chillán;04:30;04:03;LP y EX;3,4;554;1,3;00:27;-;Naranja;REAV Región de Ñuble, 08 abril de 2019, 04:30 (Horario Local);;;;;;;;;
9;4;2019;09-04-2019;Región de Ñuble;Nevados de Chillán;06:00;04:57;LP y EX;-;1376;1;01:03;-;Naranja;REAV Región de Ñuble, 09 abril de 2019, 06:00 (Horario Local);;;;;;;;;
29;4;2019;29-04-2019;Región del Biobío;Copahue;18:35;17:52;VT;3,1;-;10,3;00:43;-;Amarilla;REAV Región del Biobío, 29 abril de 2019, 18:35 (Horario Local);;;;;;;;;
4;5;2019;04-05-2019;Región de La Araucanía;Lanín;23:50;23:11;VT;3;-;8,8;00:39;-;Verde;REAV Región de La Araucanía, 04 mayo de 2019, 23:50 (Horario Local);;;;;;;;;
12;5;2019;12-05-2019;Región de Ñuble;Nevados de Chillán;20:03;20:03;LP y TR;-;564;1,5;00:00;-;Naranja;REAV Región de Ñuble, 12 mayo de 2019, 20:03 (Horario Local);;;;;;;;;
3;6;2019;03-06-2019;Región de Ñuble;Nevados de Chillán;10:00;09:23;LP y EX;-;746;2;00:37;-;Naranja;REAV Región de Ñuble, 03 junio de 2019, 10:00 (Horario Local);;;;;;;;;
7;7;2019;07-07-2019;Región del Biobío;Copahue;03:19;03:03;VT;3,4;-;3,4;00:16;-;Amarilla;REAV Región del Biobío, 07 julio de 2019, 03:19 (Horario Local);;;;;;;;;
9;7;2019;09-07-2019;Región de Ñuble;Nevados de Chillán;06:20;05:50;LP y EX;-;587;0,8;00:30;-;Naranja;REAV Región de Ñuble, 09 julio de 2019, 06:20 (Horario Local);;;;;;;;;
14;7;2019;14-07-2019;Región de Ñuble;Nevados de Chillán;07:30;06:57;LP y EX;-;765;0,8;00:33;-;Naranja;REAV Región de Ñuble, 14 julio de 2019, 07:30 (Horario Local);;;;;;;;;
23;7;2019;23-07-2019;Región de La Araucanía y Los Ríos;Villarrica;19:00;-;LP;-;-;-;- ;Cambios en la sismicidad de largo periodo y ocurrencia de explosiones menores con proyección de balisticos.;Verde;REAV Región de La Araucanía y Los Ríos, 23 julio de 2019, 19:00 (Horario Local);;;;;;;;;
5;8;2019;05-08-2019;Región de Ñuble;Nevados de Chillán;19:43;19:43;LP y EX;-;530,7;0,8;00:00;-;Naranja;REAV Región de Ñuble, 05 agosto de 2019, 19:43 (Horario Local);;;;;;;;;
6;8;2019;06-08-2019;Región de Ñuble;Nevados de Chillán;13:15;-;EX;-;-;-;- ;Desde el día 3 se registra un aumento de tamaño y ocurrencia de explosiones, además de aumento en sismicidad VT.;Naranja;REAV Región de Ñuble, 06 agosto de 2019, 13:15 (Horario Local);;;;;;;;;
8;8;2019;08-08-2019;Región de Ñuble;Nevados de Chillán;04:54;04:38;LP y EX;-;840;1,6;00:16;-;Naranja;REAV Región de Ñuble, 08 agosto de 2019, 04:54 (Horario Local);;;;;;;;;
10;8;2019;10-08-2019;Región de Ñuble;Nevados de Chillán;22:45;22:23;LP y EX;-;510;0,3;00:22;-;Naranja;REAV Región de Ñuble, 10 agosto de 2019, 22:45 (Horario Local);;;;;;;;;
12;8;2019;12-08-2019;Región de Ñuble;Nevados de Chillán;18:55;18:31;LP y EX;-;504;0,5;00:24;-;Naranja;REAV Región de Ñuble, 12 agosto de 2019, 18:55 (Horario Local);;;;;;;;;
12;8;2019;12-08-2019;Región de Ñuble;Nevados de Chillán;20:05;19:52;LP y EX;-;564;0,37;00:13;-;Naranja;REAV Región de Ñuble, 12 agosto de 2019, 20:05 (Horario Local);;;;;;;;;
13;8;2019;13-08-2019;Región de Ñuble;Nevados de Chillán;04:40;04:27;LP y EX;-;566;0,81;00:13;-;Naranja;REAV Región de Ñuble, 13 agosto de 2019, 04:40 (Horario Local);;;;;;;;;
13;8;2019;13-08-2019;Región de Ñuble;Nevados de Chillán;11:15;10:58;LP y EX;-;563;0,97;00:17;-;Naranja;REAV Región de Ñuble, 13 agosto de 2019, 11:15 (Horario Local);;;;;;;;;
13;8;2019;13-08-2019;Región de Ñuble;Nevados de Chillán;11:35;11:16;LP y EX;-;534;0,7;00:19;-;Naranja;REAV Región de Ñuble, 13 agosto de 2019, 11:35 (Horario Local);;;;;;;;;
13;8;2019;13-08-2019;Región de Ñuble;Nevados de Chillán;17:30;-;VLP;-;-;-;- ;Aparición de sismicidad VLP.;Naranja;REAV Región de Ñuble, 13 agosto de 2019, 17:30 (Horario Local);;;;;;;;;
14;8;2019;14-08-2019;Región de Ñuble;Nevados de Chillán;00:10;00:00;LP y EX;-;780;1,9;00:10;-;Naranja;REAV Región de Ñuble, 14 agosto de 2019, 00:10 (Horario Local);;;;;;;;;
14;8;2019;14-08-2019;Región de Ñuble;Nevados de Chillán;02:40;02:29;LP y EX;-;520;1,2;00:11;-;Naranja;REAV Región de Ñuble, 14 agosto de 2019, 02:40 (Horario Local);;;;;;;;;
16;8;2019;16-08-2019;Región de Ñuble;Nevados de Chillán;12:00;12:00;LP y EX;-;502;0,8;00:00;-;Naranja;REAV Región de Ñuble, 16 agosto de 2019, 12:00 (Horario Local);;;;;;;;;
17;8;2019;17-08-2019;Región de Ñuble;Nevados de Chillán;16:40;16:25;LP y EX;-;580;2,6;00:15;-;Naranja;REAV Región de Ñuble, 17 agosto de 2019, 16:40 (Horario Local);;;;;;;;;
18;8;2019;18-08-2019;Región de Ñuble;Nevados de Chillán;13:55;13:43;LP y EX;-;508;0,6;00:12;-;Naranja;REAV Región de Ñuble, 18 agosto de 2019, 13:55 (Horario Local);;;;;;;;;
20;8;2019;20-08-2019;Región de Tarapacá;Isluga;19:35;18:21;VT;3,2;-;8,8;01:14;-;Verde;REAV Región de Tarapacá, 20 agosto de 2019, 19:35 (Horario Local);;;;;;;;;
20;8;2019;20-08-2019;Región de Ñuble;Nevados de Chillán;20:00;19:38;LP y EX;-;595;0,4;00:22;-;Naranja;REAV Región de Ñuble, 20 agosto de 2019, 20:00 (Horario Local);;;;;;;;;
21;8;2019;21-08-2019;Región de Ñuble;Nevados de Chillán;15:50;15:34;LP y EX;-;532;1,5;00:16;-;Naranja;REAV Región de Ñuble, 21 agosto de 2019, 15:50 (Horario Local);;;;;;;;;
21;8;2019;21-08-2019;Región de Ñuble;Nevados de Chillán;16:20;15:53;LP y EX;-;626;1,6;00:27;-;Naranja;REAV Región de Ñuble, 21 agosto de 2019, 16:20 (Horario Local);;;;;;;;;
21;8;2019;21-08-2019;Región de Ñuble;Nevados de Chillán;16:50;16:35;LP y EX;-;541;0,5;00:15;-;Naranja;REAV Región de Ñuble, 21 agosto de 2019, 16:50 (Horario Local);;;;;;;;;
22;8;2019;22-08-2019;Región de Ñuble;Nevados de Chillán;15:20;14:58;LP y EX;-;530;3;00:22;-;Naranja;REAV Región de Ñuble, 22 agosto de 2019, 15:20 (Horario Local);;;;;;;;;
23;8;2019;23-08-2019;Región de Ñuble;Nevados de Chillán;21:38;21:38;LP y EX;-;506;0,7;00:00;-;Naranja;REAV Región de Ñuble, 23 agosto de 2019, 21:38 (Horario Local);;;;;;;;;
28;8;2019;28-08-2019;Región de Ñuble;Nevados de Chillán;11:00;11:00;LP y EX;-;633;0,9;00:00;-;Naranja;REAV Región de Ñuble, 28 agosto de 2019, 11:00 (Horario Local);;;;;;;;;
